,NAME,ADDRESS,CITY,STATE,ZIP,OWNER,BEDS,RATING
2911,CHILDRENS SPECIALIZED HOSPITAL AT TOMS RIVER,94 STEVENS ROAD,TOMS RIVER,NJ,8755,NON-PROFIT,30.0,4.1
2912,OCEAN MEDICAL CENTER,425 JACK MARTIN BOULEVARD,BRICK,NJ,8724,NON-PROFIT,281.0,N/A
2913,COMMUNITY MEDICAL CENTER,99 STATE HIGHWAY 37 WEST,TOMS RIVER,NJ,8755,NON-PROFIT,592.0,2.7
2914,SOUTHERN OCEAN COUNTY HOSPITAL,1140 STATE ROUTE 72 WEST,MANAHAWKIN,NJ,8050,NON-PROFIT,156.0,N/A
2915,JERSEY SHORE MEDICAL CENTER,1945 STATE ROUTE 33,NEPTUNE,NJ,7753,NON-PROFIT,614.0,N/A
2916,ATLANTIC REHABILITATION INSTITUTE,95 MT KEMBLE AVENUE,MORRISTOWN,NJ,7962,NON-PROFIT,38.0,N/A
2917,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,29 EAST 29TH ST,BAYONNE,NJ,7002,PROPRIETARY,261.0,N/A
2918,CAREPOINT HEALTH-CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,7306,PROPRIETARY,358.0,3.1
2919,CHILDREN'S SPECIALIZED HOSPITAL,200 SOMERSET STREET,NEW BRUNSWICK,NJ,8901,PROPRIETARY,68.0,4.0
2920,ESSEX COUNTY HOSPITAL CENTER,204 GROVE AVENUE,CEDAR GROVE,NJ,7009,GOVERNMENT - LOCAL,180.0,3.3
2921,HEALTHSOUTH REHABILITATION HOSPITAL OF TINTON FALLS,2 CENTRE PLAZA,TINTON FALLS,NJ,7724,PROPRIETARY,60.0,3.5
2922,INSPIRA MEDICAL CENTER WOODBURY,509 N BROAD ST,WOODBURY,NJ,8096,NON-PROFIT,311.0,2.2
2923,LOURDES SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY,218 SUNSET ROAD,WILLINGBORO,NJ,8046,PROPRIETARY,69.0,N/A
2924,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,600 RIVER AVE,LAKEWOOD,NJ,8701,NON-PROFIT,241.0,3.0
2925,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,110 REHILL AVE,SOMERVILLE,NJ,8876,NON-PROFIT,361.0,2.9
2926,SPECIALTY HOSPITAL OF CENTRAL JERSEY,"600 RIVER AVENUE,4 WEST",LAKEWOOD,NJ,8701,NON-PROFIT,50.0,4.2
2927,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,"1925 PACIFIC AVENUE,5TH FLOOR",ATLANTIC CITY,NJ,8401,PROPRIETARY,30.0,3.8
2928,ASPEN HILLS HEALTHCARE CENTER,600 PEMBERTON-BROWNS MILLS ROAD,PEMBERTON,NJ,8068,PROPRIETARY,30.0,3.0
2929,CARE ONE AT HUMC PASCACK VALLEY,"250 OLD HOOK ROAD,FOURTH FLOOR",WESTWOOD,NJ,7675,PROPRIETARY,25.0,4.3
2930,CARE ONE AT TRINITAS,225 WILLIAMSON STREET,ELIZABETH,NJ,7207,PROPRIETARY,25.0,4.0
2931,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,308 WILLOW AVE,HOBOKEN,NJ,7030,PROPRIETARY,333.0,N/A
2932,EAST MOUNTAIN HOSPITAL,40 EAST MOUNTAIN ROAD,BELLE MEAD,NJ,8502,NON-PROFIT,16.0,4.8
2933,HACKENSACK-UMC AT PASCACK VALLEY,250 OLD HOOK ROAD,WESTWOOD,NJ,7675,PROPRIETARY,128.0,4.2
2934,HEALTHSOUTH REHABILITATION HOSPITAL OF VINELAND,1237 W SHERMAN AVENUE,VINELAND,NJ,8360,PROPRIETARY,30.0,2.8
2935,HUDSON COUNTY MEADOWVIEW PSYCHIATRIC HOSPITAL,595 COUNTY AVENUE,SECAUCUS,NJ,7094,GOVERNMENT - LOCAL,174.0,3.1
2936,JFK JOHNSON REHABILITATION INSTITUTE,65 JAMES STREET,EDISON,NJ,8818,PROPRIETARY,94.0,3.3
2937,ST. MARY'S GENERAL HOSPITAL,350 BOULEVARD,PASSAIC,NJ,7055,PROPRIETARY,269.0,3.0
2938,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,PROPRIETARY,347.0,3.0
2939,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,8534,NON-PROFIT,221.0,3.4
2940,SHORE MEDICAL CENTER,100 MEDICAL CENTER WAY,SOMERS POINT,NJ,8244,NON-PROFIT,297.0,3.2
2941,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,NON-PROFIT,430.0,N/A
2942,REHAB HOSPITAL AT HEATHER HILL CARE COMMUNITIES,12340 BASS LAKE ROAD,CHARDON,OH,44024,PROPRIETARY,56.0,3.7
2943,SOIN MEDICAL CENTER,3535 PENTAGON PARK BLVD,BEAVERCREEK,OH,45431,NON-PROFIT,127.0,4.5
2944,GREENE MEMORIAL HOSPITAL,1141 NORTH MONROE DRIVE,XENIA,OH,45385,NON-PROFIT,49.0,4.4
2945,ALTA VISTA REGIONAL HOSPITAL,104 LEGION DRIVE,LAS VEGAS,NM,87701,PROPRIETARY,54.0,2.6
2946,CARLSBAD MEDICAL CENTER,2430 WEST PIERCE STREET,CARLSBAD,NM,88220,PROPRIETARY,112.0,2.3
2947,ALBUQUERQUE - AMG SPECIALTY HOSPITAL LLC,235 ELM STREET NORTHEAST,ALBUQUERQUE,NM,87102,PROPRIETARY,25.0,2.9
2948,CAMBRIDGE BEHAVORIAL HOSPITAL,66755 STATE STREET,CAMBRIDGE,OH,43725,PROPRIETARY,66.0,3.6
2949,SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,1341 NORTH CLARK STREET,CAMBRIDGE,OH,43725,NON-PROFIT,189.0,2.9
2950,HIMA SAN PABLO - FAJARDO,PR-194 AVE GENERAL VALERO #404 PR-194,FAJARDO,PR,738,NOT AVAILABLE,-999.0,3.0
2951,CARIBBEAN MEDICAL CENTER,151 OSVALDO AVENUE,FAJARDO,PR,738,NOT AVAILABLE,38.0,3.1
2952,CLINICA SANTA ROSA,VETERANS AVENUE,GUAYAMA,PR,785,NON-PROFIT,86.0,3.8
2953,SUMMIT HEALTHCARE ASSOCIATION,2200 E SHOW LOW LAKE RD,SHOW LOW,AZ,85901,NON-PROFIT,89.0,3.1
2954,CHILDREN'S HOSPITAL MC - COLLEGE HILL,5642 HAMILTON AVENUE,CINCINNATI,OH,45224,NON-PROFIT,74.0,4.1
2955,"JEWISH HOSPITAL, LLC",4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,NON-PROFIT,209.0,3.1
2956,CHILDREN'S HOSPITAL MEDICAL CENTER,3333 BURNET AVENUE,CINCINNATI,OH,45229,NON-PROFIT,501.0,4.1
2957,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",234 GOODMAN STREET,CINCINNATI,OH,45219,NON-PROFIT,699.0,2.6
2958,CHRIST HOSPITAL,2139 AUBURN AVENUE,CINCINNATI,OH,45219,NON-PROFIT,621.0,3.4
2959,PROFESSIONAL HOSPITAL,CARR. 199 KM 1.3,GUAYNABO,PR,970,NOT AVAILABLE,-999.0,N/A
2960,UC MEDICAL CENTER PSYCHIATRIC,311 STRAIGHT STREET,CINCINNATI,OH,45219,NON-PROFIT,72.0,N/A
2961,GOOD SAMARITAN HOSPITAL,375 DIXMYTH AVENUE,CINCINNATI,OH,45220,NON-PROFIT,657.0,3.3
2962,HOSP DR DOMINGUEZ INC,AVE FONT MARTELO 300,HUMACAO PUEBLO,PR,791,NOT AVAILABLE,-999.0,2.9
2963,HOSP RYDER MEMORIAL INC,355 FONT MARTELO STREET,HUMACAO,PR,791,NON-PROFIT,227.0,4.0
2964,HOSP ANDRES GRILLASCA INC (CENTRO DE ONCOLOGICA AVANZADA),CENTRO MEDICO DE PONCE,PONCE,PR,733,NON-PROFIT,49.0,4.7
2965,HOSP PSIQUIATRIA FORENSE DE PONCE,PR-14 KM 4.2,PONCE,PR,731,NOT AVAILABLE,-999.0,N/A
2966,"DRAKE CENTER FOR POST-ACUTE CARE, LLC",2139 AUBURN AVENUE,CINCINNATI,OH,45219,NON-PROFIT,30.0,N/A
2967,DRAKE CENTER INC,151 WEST GALBRAITH ROAD,CINCINNATI,OH,45216,NON-PROFIT,316.0,3.2
2968,HOSP EPISCOPAL SAN LUCAS 2,PR-14 AVE TITO CASTRO 917,PONCE,PR,733,NOT AVAILABLE,-999.0,3.6
2969,MERCY HEALTH - WEST HOSPITAL,3300 MERCY HEALTH BLVD,CINCINNATI,OH,45211,NON-PROFIT,568.0,3.0
2970,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,CINCINNATI,OH,45220,GOVERNMENT - FEDERAL,268.0,3.9
2971,MERCY FRANCISCAN HOSPITAL WESTERN HILLS,3131 QUEEN CITY AVENUE,CINCINNATI,OH,45238,NON-PROFIT,156.0,4.1
2972,MERCY ST THERESA CENTER,7010 ROWAN HILL DR,CINCINNATI,OH,45227,NON-PROFIT,-999.0,4.0
2973,BLANCHARD VALLEY HOSPITAL,1900 SOUTH MAIN STREET,FINDLAY,OH,45840,NON-PROFIT,176.0,2.7
2974,"HENRY COUNTY HOSPITAL, INC",1600 EAST RIVERVIEW AVENUE,NAPOLEON,OH,43545,NON-PROFIT,31.0,2.6
2975,ADENA GREENFIELD MEDICAL CENTER,550 MIRABEAU STREET,GREENFIELD,OH,45123,NON-PROFIT,25.0,3.3
2976,HIGHLAND DISTRICT HOSPITAL,1275 NORTH HIGH STREET,HILLSBORO,OH,45133,GOVERNMENT - DISTRICT/AUTHORITY,45.0,2.4
2977,HOCKING VALLEY COMMUNITY HOSPITAL,601 STATE ROUTE 664N,LOGAN,OH,43138,GOVERNMENT - LOCAL,30.0,2.6
2978,POMERENE HOSPITAL,981 WOOSTER ROAD,MILLERSBURG,OH,44654,GOVERNMENT - LOCAL,69.0,2.7
2979,HEALTHSOUTH REHABILITATION HOSPITAL OF MANATI,"HOSPITALS DOCTOR CENTER, PR-2 KM 47.7",MANATI,PR,674,PROPRIETARY,-999.0,N/A
2980,FISHER-TITUS HOSPITAL,272 BENEDICT AVENUE,NORWALK,OH,44857,NON-PROFIT,114.0,2.8
2981,MERCY WILLARD HOSPITAL,1100 NEAL ZICK ROAD,WILLARD,OH,44890,NON-PROFIT,25.0,3.4
2982,TRINITY MEDICAL CTR EAST,380 SUMMIT AVENUE,STEUBENVILLE,OH,43952,NON-PROFIT,244.0,1.5
2983,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,OH,43050,NON-PROFIT,111.0,3.1
2984,TRIPOINT MEDICAL CENTER,7590 AUBURN ROAD,PAINESVILLE,OH,44077,NON-PROFIT,135.0,2.4
2985,MAYAGUEZ MEDICAL CENTER,410 HOSTOS AVENUE,MAYAGUEZ,PR,681,GOVERNMENT - STATE,181.0,N/A
2986,WINDSOR LAURELWOOD CENTER FOR BEHAVORIAL MEDICINE,35900 EUCLID AVENUE,WILLOUGHBY,OH,44094,PROPRIETARY,159.0,2.7
2987,LAKE WEST HOSPITAL,36000 EUCLID AVENUE,WILLOUGHBY,OH,44094,NON-PROFIT,267.0,3.7
2988,THREE GABLES SURGERY CENTER,5897 COUNTY ROAD 107,PROCTORVILLE,OH,45669,PROPRIETARY,8.0,4.7
2989,LICKING MEMORIAL HOSPITAL,1320 WEST MAIN STREET,NEWARK,OH,43055,NON-PROFIT,213.0,2.3
2990,MEDICAL CENTER OF NEWARK LLC,2000 TAMARACK ROAD,NEWARK,OH,43055,NOT AVAILABLE,-999.0,4.0
2991,SELECT SPECIALTY HOSPITAL SOUTHEAST OHIO,"2000 TAMARACK ROAD,2ND FLOOR",NEWARK,OH,43055,PROPRIETARY,35.0,3.5
2992,SHEPERD HILL HOSPITAL,200 MESSIMER DRIVE,NEWARK,OH,43055,NON-PROFIT,14.0,3.0
2993,MARY RUTAN HOSPITAL,205 PALMER AVENUE,BELLEFONTAINE,OH,43311,NON-PROFIT,115.0,N/A
2994,EMH REGIONAL MEDICAL CENTER,630 EAST RIVER STREET,ELYRIA,OH,44035,NON-PROFIT,387.0,2.2
2995,ARIZONA STATE HOSPITAL,2500 EAST VAN BUREN STREET,PHOENIX,AZ,85008,GOVERNMENT - STATE,-999.0,N/A
2996,CHRISTUS SANTA ROSA HOSPITAL - NEW BRAUNFELS,600 NORTH UNION AVENUE,NEW BRAUNFELS,TX,78130,NON-PROFIT,132.0,2.9
2997,SPECIALTY HOSPITAL OF LORAIN,"254 CLEVELAND AVENUE,2ND FLOOR",AMHERST,OH,44001,NON-PROFIT,30.0,3.4
2998,MERCY ALLEN HOSPITAL,200 WEST LORAIN STREET,OBERLIN,OH,44074,NON-PROFIT,25.0,N/A
2999,ST LUKE'S HOSPITAL,5901 MONCLOVA ROAD,MAUMEE,OH,43537,NON-PROFIT,315.0,4.5
3000,PROMEDICA WILDWOOD ORTHOPEDICA AND SPINE HOSPITAL,2901 N REYNOLDS RD,TOLEDO,OH,43615,NON-PROFIT,42.0,4.2
3001,BAY PARK COMMUNITY HOSPITAL,2801 BAY PARK DRIVE,OREGON,OH,43616,NON-PROFIT,91.0,3.2
3002,FLOWER HOSPITAL,5200 HARROUN ROAD,SYLVANIA,OH,43560,NON-PROFIT,559.0,3.5
3003,REGENCY HOSPITAL OF TOLEDO,5220 WEST ALEXIS ROAD,SYLVANIA,OH,43560,PROPRIETARY,45.0,3.7
3004,MERCY ST CHARLES HOSPITAL,2600 NAVARRE AVENUE,OREGON,OH,43616,NON-PROFIT,410.0,3.3
3005,MERCY ST ANNE HOSPITAL,3404 SYLVANIA AVENUE,TOLEDO,OH,43623,NON-PROFIT,128.0,3.0
3006,MERCY ST VINCENT MEDICAL CENTER,2213 CHERRY STREET,TOLEDO,OH,43608,NON-PROFIT,568.0,2.8
3007,NORTHWEST OHIO PSYCHIATRIC HOSPITAL,930 SOUTH DETROIT AVENUE,TOLEDO,OH,43614,GOVERNMENT - STATE,-999.0,2.5
3008,TOLEDO HOSPITAL THE,2142 NORTH COVE BOULEVARD,TOLEDO,OH,43606,NON-PROFIT,792.0,2.9
3009,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLNWAY,JEFFERSON,IA,50129,GOVERNMENT - LOCAL,25.0,3.5
3010,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43699,GOVERNMENT - STATE,319.0,N/A
3011,MADISON COUNTY HOSPITAL INC,210 NORTH MAIN STREET,LONDON,OH,43140,NON-PROFIT,94.0,N/A
3012,GERALD CHAMPION REGIONAL MEDICAL CENTER,2669 NORTH SCENIC DRIVE,ALAMOGORDO,NM,88310,NON-PROFIT,99.0,N/A
3013,SURGICAL HOSPITAL AT SOUTHWOODS,7630 SOUTHERN BLVD,YOUNGSTOWN,OH,44512,PROPRIETARY,36.0,4.8
3014,VALLEY VIEW MEDICAL CENTER,1303 NORTH MAIN STREET,CEDAR CITY,UT,84721,NON-PROFIT,48.0,2.6
3015,SAN JUAN REGIONAL REHABILITATION HOSPITAL,525 SOUTH SCHWARTZ AVENUE,FARMINGTON,NM,87401,NON-PROFIT,18.0,5.0
3016,SAN JUAN REGIONAL MEDICAL CENTER,801 WEST MAPLE STREET,FARMINGTON,NM,87401,NON-PROFIT,194.0,2.6
3017,NEW MEXICO BEHAVIORAL HEALTH INSTITUTE AT LAS VEGAS,3695 HOT SPRINGS BOULEVARD,LAS VEGAS,NM,87701,GOVERNMENT - STATE,121.0,3.5
3018,ROOSEVELT GENERAL HOSPITAL,42121 UNITED STATES HIGHWAY 70,PORTALES,NM,88130,GOVERNMENT - DISTRICT/AUTHORITY,30.0,2.6
3019,CENTRAL VALLEY MEDICAL CENTER,48 WEST 1500 NORTH,NEPHI,UT,84648,NON-PROFIT,25.0,4.3
3020,NORTHERN NAVAJO MEDICAL CENTER,HWY 491 NORTH,SHIPROCK,NM,87420,GOVERNMENT - FEDERAL,55.0,2.8
3021,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,NON-PROFIT,202.0,3.1
3022,LITTLE COLORADO MEDICAL CENTER,1501 N WILLIAMSON AVE,WINSLOW,AZ,86047,NON-PROFIT,25.0,3.1
3023,PRESBYTERIAN RUST MEDICAL CENTER,2400 UNSER BLVD. SE,RIO RANCHO,NM,87124,NON-PROFIT,199.0,2.5
3024,CHRISTUS ST. VINCENT PHYSICIANS MEDICAL CENTER,2990 RODEO PARK DRIVE EAST,SANTA FE,NM,87505,NON-PROFIT,19.0,5.0
3025,UNION COUNTY GENERAL HOSPITAL,300 WILSON ST,CLAYTON,NM,88415,NON-PROFIT,25.0,3.0
3026,SOCORRO GENERAL HOSPITAL,1202 UNITED STATES HIGHWAY 60,SOCORRO,NM,87801,NON-PROFIT,24.0,2.9
3027,SIERRA VISTA HOSPITAL,800 EAST NINTH AVENUE,TRUTH OR CONSEQUENCES,NM,87901,GOVERNMENT - FEDERAL,25.0,2.6
3028,HOLY CROSS HOSPITAL,1399 WEIMER ROAD,TAOS,NM,87571,NON-PROFIT,29.0,2.2
3029,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,PROPRIETARY,181.0,2.4
3030,VALLEY VIEW MEDICAL CENTER,5330 S. HIGHWAY 95,FORT MOHAVE,AZ,86426,PROPRIETARY,66.0,2.6
3031,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,PROPRIETARY,139.0,3.3
3032,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,2905 W WARNER ROAD,CHANDLER,AZ,85224,PROPRIETARY,24.0,4.4
3033,REYNOLDS MEMORIAL HOSPITAL,800 WHEELING AVE,GLEN DALE,WV,26038,NON-PROFIT,127.0,3.1
3034,LINCOLN COUNTY MEDICAL CENTER,211 SUDDERTH DRIVE,RUIDOSO,NM,88345,NON-PROFIT,25.0,2.8
3035,LEA REGIONAL MEDICAL CENTER,5419 NORTH LOVINGTON HIGHWAY,HOBBS,NM,88240,PROPRIETARY,186.0,N/A
3036,NOR LEA DISTRICT HOSPITAL,1600 NORTH MAIN,LOVINGTON,NM,88260,GOVERNMENT - DISTRICT/AUTHORITY,25.0,N/A
3037,LOS ALAMOS MEDICAL CENTER,3917 WEST ROAD,LOS ALAMOS,NM,87544,PROPRIETARY,47.0,1.8
3038,MIMBRES MEMORIAL HOSPITAL,900 WEST ASH STREET,DEMING,NM,88030,PROPRIETARY,25.0,3.1
3039,GUADALUPE COUNTY HOSPITAL,117 CAMINO DE VIDA,SANTA ROSA,NM,88435,GOVERNMENT - LOCAL,10.0,4.4
3040,GILA REGIONAL MEDICAL CENTER,1313 EAST 32ND STREET,SILVER CITY,NM,88061,GOVERNMENT - LOCAL,71.0,N/A
3041,ARTESIA GENERAL HOSPITAL,702 NORTH 13TH STREET,ARTESIA,NM,88210,NON-PROFIT,49.0,2.8
3042,PEAK BEHAVIORAL HEALTH SERVICES,5065 MCNUTT ROAD,SANTA TERESA,NM,88008,PROPRIETARY,88.0,2.5
3043,ARIZONA SPINE & JOINT HOSPITAL,4629 E. BASELINE ROAD,MESA,AZ,85206,PROPRIETARY,23.0,4.3
3044,ABRAZO ARROWHEAD CAMPUS,18701 N 67TH AVENUE,GLENDALE,AZ,85308,PROPRIETARY,217.0,3.0
3045,AURORA BEHAVIORAL HEALTHCARE-PHOENIX,6015 W PEORIA AVENUE,GLENDALE,AZ,85302,PROPRIETARY,90.0,2.4
3046,GLENWOOD STATE HOSPITAL SCHOOL,711 SOUTH VINE STREET,GLENWOOD,IA,51534,GOVERNMENT - STATE,851.0,N/A
3047,MEMORIAL MEDICAL CENTER,2450 SOUTH TELSHOR BOULEVARD,LAS CRUCES,NM,88011,PROPRIETARY,199.0,2.8
3048,ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO,4451 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,PROPRIETARY,20.0,5.0
3049,REHABILITATION HOSPITAL OF SOUTHERN NEW MEXICO,4441 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,PROPRIETARY,40.0,4.4
3050,BHC MESILLA VALLEY HOSPITAL,3751 DEL REY BOULEVARD,LAS CRUCES,NM,88012,PROPRIETARY,88.0,3.0
3051,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,PROPRIETARY,168.0,3.3
3052,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,1901 REDROCK DRIVE,GALLUP,NM,87301,NON-PROFIT,69.0,5.0
3053,CROWNPOINT PUBLIC HEALTH SERVICES INDIAN HOSPITAL,STATE ROUTE 371 AND ROUTE 9,CROWNPOINT,NM,87313,GOVERNMENT - FEDERAL,32.0,N/A
3054,DOCTOR DAN C TRIGG MEMORIAL HOSPITAL,301 EAST MIEL DE LUNA AVENUE,TUCUMCARI,NM,88401,NON-PROFIT,25.0,3.6
3055,PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,NM,87532,NON-PROFIT,80.0,3.3
3056,GILBERT HOSPITAL,5656 SOUTH POWER ROAD,GILBERT,AZ,85295,PROPRIETARY,19.0,N/A
3057,HEALTHSOUTH EAST VALLEY REHABILITATION,5652 E BASELINE ROAD,GILBERT,AZ,85206,PROPRIETARY,60.0,4.4
3058,PLAINS REGIONAL MEDICAL CENTER CLOVIS,2100 NORTH MARTIN LUTHER KING JUNIOR BOULEVARD,CLOVIS,NM,88101,NON-PROFIT,106.0,2.7
3059,GALLUP INDIAN MEDICAL CENTER,516 NIZHONI BOULEVARD,GALLUP,NM,87301,GOVERNMENT - FEDERAL,99.0,N/A
3060,HEART HOSPITAL OF NEW MEXICO,504 ELM STREET NORTHEAST,ALBUQUERQUE,NM,87102,PROPRIETARY,55.0,3.7
3061,LOVELACE REHABILITATION HOSPITAL,505 ELM STREET NORTHEAST,ALBUQUERQUE,NM,87102,PROPRIETARY,62.0,3.4
3062,LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE ROAD NORTHWEST,ALBUQUERQUE,NM,87114,PROPRIETARY,80.0,2.8
3063,UNIVERSITY OF NEW MEXICO HOSPITAL,2211 LOMAS BOULEVARD NORTHEAST,ALBUQUERQUE,NM,87106,GOVERNMENT - STATE,527.0,3.0
3064,KINDRED HOSPITAL - ALBUQUERQUE,700 HIGH STREET NORTHEAST,ALBUQUERQUE,NM,87102,PROPRIETARY,61.0,3.6
3065,PRESBYTERIAN KASEMAN HOSPITAL,8300 CONSTITUTION AVENUE NORTHEAST,ALBUQUERQUE,NM,87110,NON-PROFIT,85.0,2.7
3066,LOVELACE WOMENS HOSPITAL,4701 MONTGOMERY BOULEVARD NORTHEAST,ALBUQUERQUE,NM,87109,PROPRIETARY,120.0,2.4
3067,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SOUTHEAST,ALBUQUERQUE,NM,87106,NON-PROFIT,453.0,3.1
3068,NEW MEXICO REHABILITATION CENTER,72 GAIL HARRIS ST,ROSWELL,NM,88203,GOVERNMENT - STATE,41.0,4.0
3069,EASTERN NEW MEXICO MEDICAL CENTER,405 WEST COUNTRY CLUB ROAD,ROSWELL,NM,88201,PROPRIETARY,162.0,3.5
3070,LOVELACE REGIONAL HOSPITAL - ROSWELL,117 EAST 19TH STREET,ROSWELL,NM,88201,PROPRIETARY,26.0,2.8
3071,CIBOLA GENERAL HOSPITAL,1016 EAST ROOSEVELT AVENUE,GRANTS,NM,87020,NON-PROFIT,25.0,2.9
3072,MINERS COLFAX MEDICAL CENTER,203 HOSPITAL DRIVE,RATON,NM,87740,GOVERNMENT - STATE,25.0,2.7
3073,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 NORTH DURANGO DRIVE,LAS VEGAS,NV,89149,PROPRIETARY,171.0,2.3
3074,UNM SANDOVAL REGIONAL MEDICAL CENTER,3001 BROADMOOR BLVD NE,RIO RANCHO,NM,87144,GOVERNMENT - STATE,72.0,3.4
3075,CENTRAL DESERT BEHAVIORAL HEALTH SERVICES OF NEW MEXICO LLC,239 ELM STREET NE,ALBUQUERQUE,NM,87102,PROPRIETARY,26.0,2.1
3076,HAVEN BEHAVIORAL HOSPITAL OF ALBUQUERQUE,"5400 GIBSON BOULEVARD SE,4TH FLOOR",ALBUQUERQUE,NM,87108,PROPRIETARY,34.0,2.4
3077,TURQUOISE LODGE HOSPITAL,5901 ZUNI SE,ALBUQUERQUE,NM,87108,GOVERNMENT - STATE,60.0,N/A
3078,BOULDER CITY HOSPITAL,901 ADAMS BOULEVARD,BOULDER CITY,NV,89005,NON-PROFIT,63.0,3.4
3079,CARSON TAHOE DAYTON HOSPITAL,1001 MEDICAL CENTER DRIVE,DAYTON,NV,89403,NOT AVAILABLE,-999.0,2.7
3080,SELECT SPECIALTY HOSPITAL WARREN CAMPUS,"667 EASTLAND AVE SE,5TH FLOOR",WARREN,OH,44484,PROPRIETARY,25.0,4.4
3081,ACOMA-CANONCITO-LAGUNA (ACL) HOSPITAL,80 B VETERANS BLVD,ACOMA PUEBLO,NM,87049,GOVERNMENT - FEDERAL,25.0,3.0
3082,OGDEN REGIONAL MEDICAL CENTER,5475 SOUTH 500 EAST,OGDEN,UT,84405,PROPRIETARY,167.0,4.3
3083,MCKAY-DEE HOSPITAL CENTER,4401 HARRISON BOULEVARD,OGDEN,UT,84403,NON-PROFIT,310.0,3.3
3084,COMANCHE COUNTY MEDICAL CENTER,10201 HWY 16 N,COMANCHE,TX,76442,NON-PROFIT,25.0,3.4
3085,DIXIE REGIONAL MEDICAL CENTER,544 SOUTH 400 EAST (FLOOD ST),SAINT GEORGE,UT,84770,NON-PROFIT,261.0,N/A
3086,DIXIE REGIONAL MEDICAL CENTER - RIVER ROAD CAMPUS,1380 EAST MEDICAL CENTER DRIVE,SAINT GEORGE,UT,84790,NON-PROFIT,-999.0,3.5
3087,SONORA BEHAVIORAL HEALTH HOSPITAL (HOSP-PSY),"6050 NORTH CORONA RD,SUITE 3",TUCSON,AZ,85704,PROPRIETARY,70.0,2.6
3088,CACHE VALLEY SPECIALTY HOSPITAL,2380 NORTH 400 EAST,NORTH LOGAN,UT,84341,PROPRIETARY,15.0,4.5
3089,VIBRA REHABILITATION HOSPITAL OF LAKE TRAVIS,2000 MEDICAL DRIVE,LAKEWAY,TX,78734,PROPRIETARY,36.0,4.1
3090,VERDE VALLEY MEDICAL CENTER,269 S CANDY LANE,COTTONWOOD,AZ,86326,NON-PROFIT,110.0,3.0
3091,WINDHAVEN PSYCHIATRIC HOSPITAL,3347 WINDSONG DRIVE,PRESCOTT VALLEY,AZ,86314,NON-PROFIT,16.0,4.8
3092,LODI COMMUNITY HOSPITAL,225 ELYRIA STREET,LODI,OH,44254,NON-PROFIT,20.0,N/A
3093,SUMMA WADSWORTH-RITTMAN HOSPITAL,195 WADSWORTH ROAD,WADSWORTH,OH,44281,NON-PROFIT,50.0,N/A
3094,MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,800 WEST MAIN STREET,COLDWATER,OH,45828,GOVERNMENT - DISTRICT/AUTHORITY,88.0,N/A
3095,UPPER VALLEY MEDICAL CENTER,3130 NORTH COUNTY ROAD 25A,TROY,OH,45373,NON-PROFIT,193.0,2.5
3096,LOGAN REGIONAL HOSPITAL,500 EAST 1400 NORTH,LOGAN,UT,84341,NON-PROFIT,135.0,3.3
